qb_name,team,pass_att_pg,adot,dumpoff_rate,rush_att_pg,rush_td,sack_rate,notes
Patrick Mahomes,KC,36.0,7.0,0.18,3.6,2,4.0,"High volume; spreads ball; some scramble drain"
Josh Allen,BUF,33.0,8.2,0.12,7.5,12,4.0,"Dual threat; high rush TD vulture but strong pass volume"
Joe Burrow,CIN,39.0,8.1,0.15,2.4,2,4.5,"Elite volume + downfield; lifts WR/TE; low rush vulture"
Lamar Jackson,BAL,28.0,8.8,0.08,9.0,4,5.0,"Run-heavy dual threat; low pass volume; vultures rush TDs"
Jared Goff,DET,33.0,8.4,0.12,1.0,1,3.5,"Pure pocket passer; downfield; near-zero vulture; great for WR"
Jalen Hurts,PHI,30.0,8.0,0.10,8.5,14,5.5,"Tush-push goal-line monster; massive RB TD vulture; low pass volume"
Tua Tagovailoa,MIA,34.0,7.2,0.22,1.8,2,3.0,"High volume + high checkdown rate; great for pass-catching RBs and WR volume"
Brock Purdy,SF,31.0,8.6,0.14,2.5,2,4.0,"Efficient downfield; great for WR aDOT; low vulture"
Jordan Love,GB,33.0,8.3,0.13,2.8,2,4.5,"Aggressive downfield; spreads it around"
Jayden Daniels,WAS,31.0,8.0,0.13,7.0,6,5.0,"Dual threat; rush TD vulture; still solid pass volume"
C.J. Stroud,HOU,33.0,8.5,0.13,2.5,2,5.5,"Downfield pocket passer; WR-friendly aDOT"
Bo Nix,DEN,32.0,6.8,0.20,3.5,4,4.5,"Quick game + checkdowns; decent for RB receiving"
Caleb Williams,CHI,33.0,7.8,0.16,4.0,1,6.5,"High upside volume; improves under Ben Johnson 2025"
Dak Prescott,DAL,35.0,7.6,0.16,1.8,2,4.0,"High volume; checkdown-friendly; low vulture"
Justin Herbert,LAC,34.0,7.9,0.15,3.2,2,4.5,"Strong volume + arm; balanced"
Matthew Stafford,LAR,34.0,8.0,0.14,1.2,1,4.0,"Pocket gunslinger; great WR volume; near-zero vulture"
Kyler Murray,ARI,33.0,7.4,0.16,5.0,4,5.0,"Dual threat; some vulture; checkdown-capable"
Baker Mayfield,TB,34.0,8.2,0.13,3.0,2,5.0,"Aggressive downfield; lifts WRs"
Trevor Lawrence,JAX,33.0,7.7,0.15,3.5,2,5.0,"Balanced; rising under Coen 2025"
J.J. McCarthy,MIN,31.0,7.8,0.15,3.5,3,5.0,"Projected starter; balanced rookie profile"
Drake Maye,NE,32.0,7.9,0.14,4.5,3,6.0,"Mobile; rising volume; some scramble drain"
Michael Penix Jr,ATL,33.0,8.6,0.13,2.0,1,4.5,"Big arm; downfield; low vulture; WR-friendly"
Bryce Young,CAR,31.0,7.5,0.16,3.0,2,5.5,"Quick game; checkdown-friendly"
Geno Smith,LV,35.0,7.6,0.16,2.5,1,5.0,"High volume; checkdown-heavy; good for RB receiving"
Sam Darnold,SEA,32.0,8.1,0.14,3.0,2,5.5,"Downfield under Kubiak; moderate"
Aaron Rodgers,PIT,33.0,7.5,0.14,1.5,1,4.0,"Pocket; quick release; low vulture"
Justin Fields,NYJ,27.0,7.8,0.12,8.0,5,7.0,"Run-heavy; low pass volume; suppresses WR/RB volume; vultures TDs"
Russell Wilson,NYG,30.0,8.4,0.12,3.0,2,5.5,"Downfield shot-taker; lower volume"
Spencer Rattler,NO,32.0,7.6,0.15,3.0,1,5.5,"Moderate volume; balanced"
Cam Ward,TEN,33.0,8.3,0.13,3.5,2,6.5,"Rookie #1; aggressive downfield; sack-prone"
Daniel Jones,IND,31.0,7.4,0.16,4.5,3,5.5,"Mobile; checkdown-friendly; some vulture"
Dillon Gabriel,CLE,31.0,7.5,0.15,3.0,2,5.5,"Rookie; quick game; balanced"
Anthony Richardson,IND,28.0,9.5,0.07,8.0,6,7.0,"Run-heavy; low completion; low dumpoff; suppresses RB receiving and WR volume"
Malik Willis,MIA,22.0,7.5,0.09,7.0,4,7.5,"Low pass volume; runs often; few checkdowns; vultures TDs; poor for RB/WR"
Fernando Mendoza,LV,30.0,7.6,0.14,4.0,3,6.5,"2026 No.1 pick; mobile rookie; moderate volume; sack-prone"
League_Average,NA,32.0,7.8,0.15,3.5,3,4.5,"Synthetic neutral QB baseline"
